service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2:1:CIST-562755-1-101,1,1,1,1,1,0,0,20211212,20221210
2:1:CIST-562755-1-102,1,1,1,1,1,0,0,20211212,20221210
2:1:CIST-562755-1-103,1,1,1,1,1,0,0,20211212,20221210
2:1:CIST-562755-1-104,1,1,1,1,1,0,0,20211212,20221210
2:1:CIST-562755-1-105,1,1,1,1,1,0,0,20211212,20221210
2:1:CIST-562755-1-106,1,1,1,1,1,0,0,20211212,20221210
2:1:CIST-562755-1-107,1,1,1,1,1,0,0,20211212,20221210
2:1:CIST-562755-1-108,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-101,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-102,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-103,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-104,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-105,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-106,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-107,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-108,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-110,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-113,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-114,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-115,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-117,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-118,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-119,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-120,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-121,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-122,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-124,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-126,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-151,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-152,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-153,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-154,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-155,1,1,1,1,1,0,0,20211212,20221210
2:2:CIST-552621-1-201,0,0,0,0,0,1,1,20211212,20221210
2:2:CIST-552621-1-202,0,0,0,0,0,1,1,20211212,20221210
