stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
2:100:JDFS-10,,"Háj u Duchcova,,Dolní Háj žel.zast.",,50.6193199,13.7252531,448,,0,,Europe/Prague,0,
2:100:JDFS-11,,"Hostomice,,kolonie",,50.5890278,13.7937884,481,,0,,Europe/Prague,0,
2:100:JDFS-23,,"Osek,,Kolonie",,50.62249945,13.70443395,443,,0,,Europe/Prague,0,
2:100:JDFS-26,,Zabrušany,,50.60505485,13.78737355,493,,0,,Europe/Prague,0,
2:100:JDFS-27,,"Zabrušany,,vodárna",,50.60327,13.77587655,493,,0,,Europe/Prague,0,
2:100:JDFS-31,,"Osek,,Zbrojnice",,50.62290215,13.697062,443,,0,,Europe/Prague,0,
2:100:JDFS-32,,"Osek,,sídliště",,50.6300621,13.696517,443,,0,,Europe/Prague,0,
2:100:JDFS-34,,"Zabrušany,Želénky,Fučík",,50.59254,13.78752235,493,,0,,Europe/Prague,0,
2:100:JDFS-35,,"Zabrušany,Želénky,křiž.",,50.5986652,13.78191155,493,,0,,Europe/Prague,0,
2:100:JDFS-5,,"Duchcov,,kino",,50.60351165,13.7478523,411,,0,,Europe/Prague,0,
2:100:JDFS-6,,"Duchcov,,nem.",,50.6106471,13.7415514,411,,0,,Europe/Prague,0,
2:100:JDFS-7,,"Duchcov,,Osecká",,50.607105,13.74585965,411,,0,,Europe/Prague,0,
2:100:JDFS-8,,"Duchcov,,Želenská",,50.6024469,13.7604976,411,,0,,Europe/Prague,0,
2:100:JDFS-9,,"Háj u Duchcova,,Dolní Háj rozc.",,50.6234080333333,13.7183818666667,448,,0,,Europe/Prague,0,
2:101:JDFS-1,,Boleboř,,50.53995,13.4139962,572,,0,,Europe/Prague,0,
2:101:JDFS-11,,"Jirkov,,Jindřišská",,50.51773745,13.41998915,511,,0,,Europe/Prague,0,
2:101:JDFS-12,,"Jirkov,,Jiráskova",,50.50723455,13.44264905,511,,0,,Europe/Prague,0,
2:101:JDFS-14,,"Hora Sv.Kateřiny,,rozc.Malý Háj",,50.5862,13.41972,253,,0,,Europe/Prague,0,
2:101:JDFS-15,,"Malý Háj,Lesná,rozc.",,50.5794029,13.4206781,253,,0,,Europe/Prague,0,
2:101:JDFS-17,,Orasín,,50.5352745,13.4008751,572,,0,,Europe/Prague,0,
2:101:JDFS-18,,Otvice,,50.47983,13.45109,501,,0,,Europe/Prague,0,
2:101:JDFS-2,,"Boleboř,,rozc.Orasín 1.0",,50.53631,13.4156027,572,,0,,Europe/Prague,0,
2:101:JDFS-21,,"Chomutov,,u hřbitova",,50.454155,13.41475,501,,0,,Europe/Prague,0,
2:101:JDFS-22,,"Chomutov,,poliklinika",,50.45539,13.4089527,501,,0,,Europe/Prague,0,
2:101:JDFS-25,,"Chomutov,,Aquasvět",,50.46869,13.4265842,501,,0,,Europe/Prague,0,
2:101:JDFS-26,,"Hora Sv.Kateřiny,Malý Háj",,50.5862,13.41972,253,,0,,Europe/Prague,0,
2:102:JDFS-1,,"Březno,,zdrav.stř.",,50.4000982,13.4240136,585,,0,,Europe/Prague,0,
2:102:JDFS-13,,"Březno,Stranná",,50.37043,13.4503908,585,,0,,Europe/Prague,0,
2:102:JDFS-14,,"Březno,Střezov,rozc.0.2",,50.3912182,13.43462705,585,,0,,Europe/Prague,0,
