route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
-CISR-562755-1,2:1:CIST-562755-1-101,2:1:CIST-562755-1-101,,562755 101,1,,,1,2
-CISR-562755-1,2:1:CIST-562755-1-102,2:1:CIST-562755-1-102,,562755 102,0,,,1,2
-CISR-562755-1,2:1:CIST-562755-1-103,2:1:CIST-562755-1-103,,562755 103,1,,,1,2
-CISR-562755-1,2:1:CIST-562755-1-104,2:1:CIST-562755-1-104,,562755 104,0,,,1,2
-CISR-562755-1,2:1:CIST-562755-1-105,2:1:CIST-562755-1-105,,562755 105,1,,,1,2
-CISR-562755-1,2:1:CIST-562755-1-106,2:1:CIST-562755-1-106,,562755 106,0,,,1,2
-CISR-562755-1,2:1:CIST-562755-1-107,2:1:CIST-562755-1-107,,562755 107,1,,,1,2
-CISR-562755-1,2:1:CIST-562755-1-108,2:1:CIST-562755-1-108,,562755 108,0,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-101,2:2:CIST-552621-1-101,,552621 101,1,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-102,2:2:CIST-552621-1-102,,552621 102,0,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-103,2:2:CIST-552621-1-103,,552621 103,1,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-104,2:2:CIST-552621-1-104,,552621 104,0,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-105,2:2:CIST-552621-1-105,,552621 105,1,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-106,2:2:CIST-552621-1-106,,552621 106,0,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-107,2:2:CIST-552621-1-107,,552621 107,1,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-108,2:2:CIST-552621-1-108,,552621 108,0,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-110,2:2:CIST-552621-1-110,,552621 110,0,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-113,2:2:CIST-552621-1-113,,552621 113,1,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-114,2:2:CIST-552621-1-114,,552621 114,0,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-115,2:2:CIST-552621-1-115,,552621 115,1,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-117,2:2:CIST-552621-1-117,,552621 117,1,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-118,2:2:CIST-552621-1-118,,552621 118,0,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-119,2:2:CIST-552621-1-119,,552621 119,1,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-120,2:2:CIST-552621-1-120,,552621 120,0,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-121,2:2:CIST-552621-1-121,,552621 121,1,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-122,2:2:CIST-552621-1-122,,552621 122,0,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-124,2:2:CIST-552621-1-124,,552621 124,0,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-126,2:2:CIST-552621-1-126,,552621 126,0,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-151,2:2:CIST-552621-1-151,,552621 151,1,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-152,2:2:CIST-552621-1-152,,552621 152,0,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-153,2:2:CIST-552621-1-153,,552621 153,1,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-154,2:2:CIST-552621-1-154,,552621 154,0,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-155,2:2:CIST-552621-1-155,,552621 155,1,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-201,2:2:CIST-552621-1-201,,552621 201,1,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-202,2:2:CIST-552621-1-202,,552621 202,0,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-203,2:2:CIST-552621-1-203,,552621 203,1,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-204,2:2:CIST-552621-1-204,,552621 204,0,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-205,2:2:CIST-552621-1-205,,552621 205,1,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-206,2:2:CIST-552621-1-206,,552621 206,0,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-207,2:2:CIST-552621-1-207,,552621 207,1,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-208,2:2:CIST-552621-1-208,,552621 208,0,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-209,2:2:CIST-552621-1-209,,552621 209,1,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-210,2:2:CIST-552621-1-210,,552621 210,0,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-211,2:2:CIST-552621-1-211,,552621 211,1,,,1,2
-CISR-552621-1,2:2:CIST-552621-1-212,2:2:CIST-552621-1-212,,552621 212,0,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-101,2:3:CIST-592457-1-101,,592457 101,1,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-102,2:3:CIST-592457-1-102,,592457 102,0,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-103,2:3:CIST-592457-1-103,,592457 103,1,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-104,2:3:CIST-592457-1-104,,592457 104,0,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-105,2:3:CIST-592457-1-105,,592457 105,1,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-106,2:3:CIST-592457-1-106,,592457 106,0,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-107,2:3:CIST-592457-1-107,,592457 107,1,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-108,2:3:CIST-592457-1-108,,592457 108,0,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-109,2:3:CIST-592457-1-109,,592457 109,1,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-110,2:3:CIST-592457-1-110,,592457 110,0,,,1,2
-CISR-592457-1,2:3:CIST-592457-1-111,2:3:CIST-592457-1-111,,592457 111,1,,,1,2
